5927,5.7,1982,http://ia.media-imdb.com/images/M/MV5BMTM3MDU4OTU1OV5BMl5BanBnXkFtZTcwNjE0MTQyMQ@@._V1._SX94_SY140_.jpg,Colin Higgins,Burt Reynolds|Dolly Parton|Dom DeLuise|Charles Durning|Jim Nabors
5928,6.4,1982,http://ia.media-imdb.com/images/M/MV5BMjAxNjIyNDgwNF5BMl5BanBnXkFtZTcwNDIxMTUyMQ@@._V1._SX99_SY140_.jpg,Tony Richardson,Jack Nicholson|Harvey Keitel|Valerie Perrine|Warren Oates|Elpidia Carrillo
5932,8.0,1982,http://ia.media-imdb.com/images/M/MV5BMTI4Njc3ODk3M15BMl5BanBnXkFtZTcwNDc0NzgyMQ@@._V1._SX99_SY140_.jpg,Les Blank,Werner Herzog|Klaus Kinski|Claudia Cardinale|Jason Robards|Mick Jagger
5933,6.6,1982,http://ia.media-imdb.com/images/M/MV5BNjg5ODU0Mzk2MF5BMl5BanBnXkFtZTcwNDc5NTEzMQ@@._V1._SX76_SY140_.jpg,David S. Ward,Nick Nolte|Debra Winger|Audra Lindley|Frank McRae|M. Emmet Walsh
5937,7.6,1983,http://ia.media-imdb.com/images/M/MV5BOTQ1ODA3MjU3OF5BMl5BanBnXkFtZTcwMjY1MTYzMg@@._V1._SX99_SY140_.jpg,Andrzej Wajda,Gérard Depardieu|Wojciech Pszoniak|Anne Alvaro|Roland Blanche|Patrice Chéreau
5938,7.0,1982,http://ia.media-imdb.com/images/M/MV5BMTQ1NjIzNDk2OF5BMl5BanBnXkFtZTcwNjkwOTYxMQ@@._V1._SX95_SY140_.jpg,Sidney Lumet,Michael Caine|Christopher Reeve|Dyan Cannon|Irene Worth|Henry Jones
5941,5.6,2002,http://ia.media-imdb.com/images/M/MV5BMjE1MTQ4OTg3OF5BMl5BanBnXkFtZTYwODEyMzg5._V1._SX93_SY140_.jpg,Charles Stone III,Nick Cannon|Zoe Saldana|Orlando Jones|Leonard Roberts|GQ
5942,5.5,2002,http://ia.media-imdb.com/images/M/MV5BMzY1NTAzNTA3Ml5BMl5BanBnXkFtZTYwMDA5Mzc3._V1._SX95_SY140_.jpg,Tom Brady,Rob Schneider|Anna Faris|Matthew Lawrence|Eric Christian Olsen|Robert Davi
5943,5.0,2002,http://ia.media-imdb.com/images/M/MV5BMTczODg2ODI2M15BMl5BanBnXkFtZTYwODIxMDg5._V1._SX96_SY140_.jpg,Wayne Wang,Jennifer Lopez|Ralph Fiennes|Natasha Richardson|Stanley Tucci|Tyler Posey
5944,6.4,2002,http://ia.media-imdb.com/images/M/MV5BMjAxNjY2NDY3NF5BMl5BanBnXkFtZTcwMjA0MTEzMw@@._V1._SX94_SY140_.jpg,Stuart Baird,Patrick Stewart|Jonathan Frakes|Brent Spiner|LeVar Burton|Michael Dorn
