2882,6.5,1999,http://ia.media-imdb.com/images/M/MV5BMTYyMzA2ODA1OF5BMl5BanBnXkFtZTcwMjgyMjAyMQ@@._V1._SX94_SY140_.jpg,Peter Kassovitz,Robin Williams|Hannah Taylor Gordon|Éva Igó|István Bálint|Justus von Dohnányi
2883,6.9,1999,http://ia.media-imdb.com/images/M/MV5BMTk1MzExMDU1Ml5BMl5BanBnXkFtZTcwMzg3MzkyMQ@@._V1._SX97_SY140_.jpg,Lawrence Kasdan,Loren Dean|Hope Davis|Jason Lee|Alfre Woodard|Mary McDonnell
2884,5.1,1998,http://ia.media-imdb.com/images/M/MV5BNzAzMzUzMTY5Ml5BMl5BanBnXkFtZTcwMTk5MTUyMQ@@._V1._SX100_SY140_.jpg,Bruce McCulloch,Natasha Henstridge|Luke Wilson|Kathleen Robertson|Janeane Garofalo|Bruce McCulloch
2885,6.0,1999,http://ia.media-imdb.com/images/M/MV5BMTY4MzE3MjIyMl5BMl5BanBnXkFtZTcwNDk4OTEyMQ@@._V1._SX98_SY140_.jpg,Audrey Wells,Sarah Polley|Stephen Rea|Jean Smart|Gina Gershon|Paul Dooley
2886,5.7,1999,http://ia.media-imdb.com/images/M/MV5BMTI1MzE5ODYxNl5BMl5BanBnXkFtZTYwNjMyNTA5._V1._SX100_SY140_.jpg,Gary Halvorson,Kevin Clash|Mandy Patinkin|Vanessa Williams|Sonia Manzano|Roscoe Orman
2887,2.4,1999,http://ia.media-imdb.com/images/M/MV5BMTM0NTEzNjk3M15BMl5BanBnXkFtZTcwMTEzMjkxMQ@@._V1._SX99_SY140_.jpg,Kevin Elders,Dennis Rodman|Dane Cook|John Pinette|Ricky Harris|Filip Nikolic
2888,5.6,1999,http://ia.media-imdb.com/images/M/MV5BMTY4NDc4ODU2M15BMl5BanBnXkFtZTcwMzYzNjAyMQ@@._V1._SX100_SY140_.jpg,John Schultz,Melissa Joan Hart|Adrian Grenier|Stephen Collins|Mark Metcalf|William Converse-Roberts
2889,6.6,1999,http://ia.media-imdb.com/images/M/MV5BMjE2MDM2NzcyMl5BMl5BanBnXkFtZTYwMzA2NjQ3._V1._SX99_SY140_.jpg,Jay Roach,Russell Crowe|Hank Azaria|Mary McCormack|Burt Reynolds|Colm Meaney
2890,7.2,1999,http://ia.media-imdb.com/images/M/MV5BMTI0ODg0NTA4Ml5BMl5BanBnXkFtZTcwNDEwNTEzMQ@@._V1._SX98_SY140_.jpg,David O. Russell,George Clooney|Mark Wahlberg|Ice Cube|Spike Jonze|Cliff Curtis
2891,6.3,1999,http://ia.media-imdb.com/images/M/MV5BMTg3MjE0ODkwOV5BMl5BanBnXkFtZTcwNjE4NzUxMQ@@._V1._SX99_SY140_.jpg,Mark Illsley,Steve Zahn|Jeremy Northam|William H. Macy|Ally Walker|Illeana Douglas
2892,4.8,1998,http://ia.media-imdb.com/images/M/MV5BMTI4MjA1MzQ4OF5BMl5BanBnXkFtZTcwMDYxMzEyMQ@@._V1._SX100_SY140_.jpg,Abel Ferrara,Christopher Walken|Willem Dafoe|Asia Argento|Annabella Sciorra|John Lurie
2893,6.4,1999,http://ia.media-imdb.com/images/M/MV5BMTY2NDU2ODY2NV5BMl5BanBnXkFtZTcwNDEyNTIyMQ@@._V1._SX100_SY139_.jpg,Jake Scott,Jonny Lee Miller|Iain Robertson|Robert Carlyle|Ken Stott|Tommy Flanagan
2894,5.3,1999,http://ia.media-imdb.com/images/M/MV5BNjY4NDgwNTI5MV5BMl5BanBnXkFtZTcwMDI1NTcxMQ@@._V1._SX100_SY140_.jpg,Catherine Breillat,Caroline Ducey|Sagamore Stévenin|François Berléand|Marco Siffredi|Reza Habouhossein
2896,6.4,1966,http://ia.media-imdb.com/images/M/MV5BODYyNzU3MDM4Ml5BMl5BanBnXkFtZTcwNjE5NDQyMQ@@._V1._SX100_SY139_.jpg,Edward Dmytryk,William Holden|Richard Widmark|Janice Rule|Patrick O'Neal|Victoria Shaw
2897,7.7,1983,http://ia.media-imdb.com/images/M/MV5BODY1NzY3ODkyMV5BMl5BanBnXkFtZTcwODc2NjAzMQ@@._V1._SX99_SY140_.jpg,Federico Fellini,Freddie Jones|Barbara Jefford|Victor Poletti|Peter Cellier|Elisa Mainardi
