5609,3.6,2002,http://ia.media-imdb.com/images/M/MV5BMTkwMDk0OTcyMF5BMl5BanBnXkFtZTYwNzcxMDg5._V1._SX95_SY140_.jpg,Wych Kaosayananda,Antonio Banderas|Lucy Liu|Gregg Henry|Ray Park|Talisa Soto
5610,5.6,2002,http://ia.media-imdb.com/images/M/MV5BMTU2MjQ0OTM3N15BMl5BanBnXkFtZTcwOTQ0MjYyMQ@@._V1._SX98_SY140_.jpg,Bob Dolman,Goldie Hawn|Susan Sarandon|Geoffrey Rush|Erika Christensen|Robin Thomas Grossman
5611,6.5,2002,http://ia.media-imdb.com/images/M/MV5BMTYzOTMxNzg0MV5BMl5BanBnXkFtZTYwMjQwMDQ3._V1._SX98_SY140_.jpg,Shekhar Kapur,Wes Bentley|Mohamed Bouich|Campbell Brown|Daniel Caltagirone|James Cosmo
5612,6.2,2002,http://ia.media-imdb.com/images/M/MV5BMjE3NDU5MTQ3M15BMl5BanBnXkFtZTcwMzE1MTgyMQ@@._V1._SX88_SY140_.jpg,Luis Mandoki,Charlize Theron|Courtney Love|Stuart Townsend|Kevin Bacon|Pruitt Taylor Vince
5613,7.1,2002,http://ia.media-imdb.com/images/M/MV5BOTI1MjE1NzY3NF5BMl5BanBnXkFtZTcwMzA4OTUxMQ@@._V1._SX99_SY140_.jpg,François Ozon,Danielle Darrieux|Catherine Deneuve|Isabelle Huppert|Emmanuelle Béart|Fanny Ardant
5615,6.6,2001,http://ia.media-imdb.com/images/M/MV5BMTY3MDcxMzQ4MV5BMl5BanBnXkFtZTcwMzI2NzAwMQ@@._V1._SX98_SY140_.jpg,Werner Herzog,Tim Roth|Jouko Ahola|Anna Gourari|Max Raabe|Jacob Wein
5617,7.1,2002,http://ia.media-imdb.com/images/M/MV5BMjA5ODIzMTQ4M15BMl5BanBnXkFtZTYwMDgwNDA3._V1._SX95_SY140_.jpg,Steven Shainberg,James Spader|Maggie Gyllenhaal|Jeremy Davies|Lesley Ann Warren|Stephen McHattie
5618,8.6,2001,http://ia.media-imdb.com/images/M/MV5BMjYxMDcyMzIzNl5BMl5BanBnXkFtZTYwNDg2MDU3._V1._SX99_SY140_.jpg,Hayao Miyazaki,Rumi Hiiragi|Miyu Irino|Mari Natsuki|Takashi Naitô|Yasuko Sawaguchi
5619,7.7,2002,http://ia.media-imdb.com/images/M/MV5BMzEyOTEwMjc5Nl5BMl5BanBnXkFtZTcwOTc3MTQyMQ@@._V1._SX93_SY140_.jpg,Eugene Jarecki,Brian Cox|Henry Kissinger|Anna Chennault|Amy Goodman|Alexander Haig
5620,6.1,2002,http://ia.media-imdb.com/images/M/MV5BMjEwMjIwMDQ4OV5BMl5BanBnXkFtZTYwNzc3OTY3._V1._SX95_SY140_.jpg,Andy Tennant,Reese Witherspoon|Josh Lucas|Patrick Dempsey|Candice Bergen|Mary Kay Place
5621,5.2,2002,http://ia.media-imdb.com/images/M/MV5BMjEyNTI0NjM5M15BMl5BanBnXkFtZTYwMjQ0NTE3._V1._SX95_SY140_.jpg,Kevin Donovan,Jackie Chan|Jennifer Love Hewitt|Jason Isaacs|Debi Mazar|Ritchie Coster
5622,7.2,2002,http://ia.media-imdb.com/images/M/MV5BMjEyMTA3OTMwM15BMl5BanBnXkFtZTYwNjA3Mzc2._V1._SX99_SY140_.jpg,Adam Thomas Anderegg,Jeremy Hoop|Randall King|Heather Beers|Lindsay Killian|Adam Johnson
5625,6.7,2002,http://ia.media-imdb.com/images/M/MV5BMTY5MTA1MTgyMV5BMl5BanBnXkFtZTYwNzE5NDg3._V1._SX95_SY140_.jpg,Brad Silberling,Jake Gyllenhaal|Dustin Hoffman|Susan Sarandon|Alexia Landeau|Richard Messing
5628,6.6,2001,http://ia.media-imdb.com/images/M/MV5BMTY4ODgzMDY5NV5BMl5BanBnXkFtZTcwNTczNjEyMQ@@._V1._SX97_SY140_.jpg,Gérard Krawczyk,Jean Reno|Ryôko Hirosue|Michel Muller|Carole Bouquet|Yoshi Oida
